Label,Text
1,"52/ 9 huynh thien loc, phuong hoa thanh, quan tan phu, tp ho chi minh"
1,"33 tran van danh, phuong 13, quan tan binh, tp ho chi minh"
1,"117 duong so 3, cu xa do thanh, phuong 04, quan 3, tp ho chi minh"
1,"b4/ 15c ap 2, xa vinh loc a, huyen binh chanh, tp ho chi minh"
1,"81/ 8 le lieu, phuong tan quy, quan tan phu, tp ho chi minh"
1,"153 tran van quang, phuong 10, quan tan binh, tp ho chi minh"
1,"211 ter, dien bien phu, phuong 06, quan 3, tp ho chi minh"
1,"203/ 38/ 34 duong truc, phuong 13, quan binh thanh, tp ho chi minh"
1,"133/ 32/ 15/ 2a binh thanh, phuong binh hung hoa b, quan binh tan, tp ho chi minh"
1,"lau 15, toa nha vincom center, 72 le thanh ton, phuong ben nghe, quan 1, tp ho chi minh"
1,"so 86 duong nguyen du, phuong 7, quan go vap, tp ho chi minh"
1,"532/ 21/ 17 kinh duong vuong, phuong binh tri dong b, quan binh tan, tp ho chi minh"
1,"so 25 - 16b4 duong nguyen van loc, khu do thi mo lao, phuong mo lao, quan ha dong, ha noi"
1,"so 52, ngo 545, pho thuy khue, phuong buoi, quan tay ho, ha noi"
1,"so 205 nguyen dinh thi, phuong thuy khue, quan tay ho, ha noi"
1,"so 2+ 2a, ngach 25/ 8 cu loc, phuong nhan chinh, quan thanh xuan, ha noi"
1,"so 32, ngo 477, duong nguyen trai, phuong thanh xuan nam, quan thanh xuan, ha noi"
1,"so 5, ngo 54, duong au co, phuong tu lien, quan tay ho, ha noi"
1,"so 473 au co, phuong nhat tan, quan tay ho, ha noi"
1,"so 10, ngo 76 lac long quan, phuong buoi, quan tay ho, ha noi"
1,"so nha 44, ngach 34/ 56, pho vinh tuy, phuong vinh tuy, quan hai ba trung, ha noi"
1,"thon goc thong, xom phu huu, xa minh phu, huyen soc son, ha noi"
1,"so 42, ngo 381, pho bach mai, phuong bach mai, quan hai ba trung, ha noi"
1,"so 11e3, to 25 tt dai hoc thuong mai, duong ho tung mau, phuong mai dich, quan cau giay, ha noi"
1,"so 4, ngach 3/ 550 duong bach dang, phuong bach dang, quan hai ba trung, ha noi"
1,"47 nguyen thai hoc, phuong phu hoi, thanh pho hue, thua thien - hue"
1,"6/ 19/ 32 thien thai, phuong thuy xuan, thanh pho hue, thua thien - hue"
1,"16/ 101 phan boi chau, phuong phuoc vinh, thanh pho hue, thua thien - hue"
1,"thua dat so 67, to ban do pl9, khu tai dinh cu tha, phuong liem chinh, thanh pho phu ly, ha nam"
1,"so 65 le loi, khu pho 1, phuong 5, thanh pho dong ha, quang tri"
1,"khu pho 3, phuong 2, thi xa quang tri, quang tri"
1,"so 5a, duong so 10, kdc xay dung, phuong hung thanh, quan cai rang, can tho"
1,"93/ 4, tran hung dao, phuong an phu, quan ninh kieu, can tho"
1,"199, to 1, kv2, le hong phong, phuong tra an, quan binh thuy, can tho"
1,"ap thoi hoa b, tt co do, thi tran co do, huyen co do, can tho"
1,"ap to, xa uy no, huyen dong anh, ha noi"
1,"ap binh chien ( thua dat so 422 va 415, to ban do so 65) , thi tran binh dai, huyen binh dai, ben tre"
1,"so 811/ 1, ap 1, xa son dong, thanh pho ben tre, ben tre"
1,"so 12, hem 1/ 56/ 10 pho dai linh, phuong trung van, quan nam tu liem, ha noi"
1,"to 12, phuong le hong phong, thanh pho quang ngai, quang ngai"
1,"thon phuc minh, xa hanh thuan, huyen nghia hanh, quang ngai"
1,"so 73, ap phu tri, xa phu tan, huyen chau thanh, hau giang"
1,"so 401, ap xang moi b, thi tran rach goi, huyen chau thanh a, hau giang"
1,"duong dinh tien hoang, to 16, phuong nghia chanh, thanh pho quang ngai, quang ngai"
1,"thon tan long trung, xa ba dong, huyen ba to, quang ngai"
1,"63/ 13 tran cao van, phuong 9, thanh pho vung tau, ba ria - vung tau"
1,"to 7, thon dong hai, xa tan hai, huyen tan thanh, ba ria - vung tau"
1,"to 1, duong huynh minh thanh, khu pho xom ray, thi tran phuoc buu, huyen xuyen moc, ba ria - vung tau"
1,"to 14, phuong tuc duyen, thanh pho thai nguyen, thai nguyen"
1,"an thanh, xa thuong nung, huyen vo nhai, thai nguyen"
1,"to dan pho hop thanh, phuong thang loi, thanh pho song cong, thai nguyen"
1,"so 100 hung vuong, phuong an my, thanh pho tam ky, quang nam"
1,"duong thanh hoa, to 1, thon phu binh, xa tam phu, thanh pho tam ky, quang nam"
1,"thon trung toan, xa tam quang, huyen nui thanh, quang nam"
1,"137b le dinh duong, phuong tan thanh, thanh pho tam ky, quang nam"
1,"thon thuan an, xa duy nghia, huyen duy xuyen, quang nam"
1,"cum cong nghiep vinh hoa hung nam, ap 6, xa vinh hoa hung nam, huyen go quao, kien giang"
1,"lo a11. 2, duong n5, kcn thanh thanh cong, xa an hoa, huyen trang bang, tay ninh"
1,"to dan pho 2, phuong dong son, thanh pho dong hoi, quang binh"
1,"so 26a, ngo 37, duong ha huy tap, phuong ha huy tap, thanh pho vinh, nghe an"
1,"so 29, duong phan boi chau, phuong quan bau, thanh pho vinh, nghe an"
1,"to dan pho 6, phuong him lam, tp dien bien phu, dien bien"
1,"nha ong hoang manh thang, thon 2, xa ban vuoc, huyen bat xat, lao cai"
1,"so nha 064, duong ngo quyen, phuong kim tan, thanh pho lao cai, lao cai"
1,"ru moi, phuong quynh thien, thi xa hoang mai, nghe an"
1,"tai nha ong tran xuan hao, to dan pho lien phu, phuong ky lien, thi xa ky anh, ha tinh"
1,"tai nha ong nguyen tung ninh, to dan pho hoanh nam, phuong ky lien, thi xa ky anh, ha tinh"
1,"so nha 57, ngo 167 tay son, phuong quang trung, quan dong da, ha noi"
1,"so 26, ngo 189 hoang hoa tham, phuong lieu giai, quan ba dinh, ha noi"
1,"so 4, hem 85/ 28 ngo trung ta, pho kham thien, phuong tho quan, quan dong da, ha noi"
1,"so 63 pho vu ngoc phan, phuong lang ha, quan dong da, ha noi"
1,"so 5, khoi bach dang, phuong van phuc, quan ha dong, ha noi"
1,"43/ 5b dong lan, xa ba diem, huyen hoc mon, tp ho chi minh"
1,"45 duong so 12, kp 1, phuong cat lai, quan 2, tp ho chi minh"
1,"so nha 23b, ngo 40/ 30, pho ta quang buu, phuong bach khoa, quan hai ba trung, ha noi"
1,"tang 02, so nha 02, ngo 325 kim nguu, to 24d, phuong thanh luong, quan hai ba trung, ha noi"
1,"so nha 54a pho vu trong phung, phuong thanh xuan trung, quan thanh xuan, ha noi"
1,"so 39c, ngo 29 duong khuong ha, phuong khuong dinh, quan thanh xuan, ha noi"
1,"so 15, ngo 463 doi can, phuong vinh phuc, quan ba dinh, ha noi"
1,"so 6, ngach 32/ 2, phuong ngoc khanh, quan ba dinh, ha noi"
1,"so 4, ngo 46 van cao, phuong lieu giai, quan ba dinh, ha noi"
1,"so 92, to 6b ( to moi 1c) duong tran khat chan, phuong thanh luong, quan hai ba trung, ha noi"
1,"nha so 9, ngo 103/ 8, to 4a, duong dinh cong thuong, phuong dinh cong, quan hoang mai, ha noi"
1,"so 4, ngo 2/ 35, duong hoang liet, phuong hoang liet, quan hoang mai, ha noi"
